post_id,user_id,username,text,hashtags,mentions,timestamp,like_count,reply_count,retweet_count,quote_count,bookmark_count,impressions,followers_count,following_count,verified,bio,location,language,is_reply,in_reply_to_user_id,referenced_tweet_id,referenced_tweet_type,gender,age_group,region,demographic_source,conversation_id,display_name,category,verified_type
1900000000011724061,3000210845,owenlindqvist,Reminder to myself: autocorrect betrayals. That's the whole tweet.,MemeMonday;Mood;LOL,,2025-09-01T00:11:57.000Z,118,26,29,4,24,2936,126,264,False,"Data Engineer. Two kids, one dog, zero free time. Mostly here for the memes.","Santiago, Chile",es,False,,,,Male,18-24,Latin America,inferred from engagement graph,1900000000011724061,Owen Lindqvist,Humor & Memes,none
1900000000013481815,3000134783,aminadelgado,"Just spent an hour reading about an indie bookstore reopening. Three things stood out: cost, adoption speed, and how Fable & Frame Studios is positioning against everyone else.",AmReading;Books,,2025-09-01T01:11:27.000Z,492,100,56,12,116,12321,28658,81,False,Data Scientist. Writing about it as I go. Dog parent.,"Madrid, Spain",es,False,,,,Female,18-24,Europe,inferred from engagement graph,1900000000013481815,Amina Delgado,Books & Literature,none
1900000000007359002,3000032435,vossamina,RT @tobiashol26: Real talk: the gap between how a curriculum overhaul fight is discussed online and what's actually happening on the ground keeps widening.,,,2025-09-01T01:47:21.000Z,102,26,30,11,5,14744,23871,108,True,Copywriter. Plant parent.,"Seoul, South Korea",ko,False,,1900000000006339347,retweeted,Male,25-34,Asia-Pacific,platform-provided estimate,1900000000007359002,Amina Voss,Education,blue
1900000000009047058,3000090250,adiallo,RT @mei_girard: Hot take: the gap between how a rescue dog's first week home is discussed online and what's actually happening on the ground keeps widening.,Pets;CatsOfTwitter,,2025-09-01T01:57:43.000Z,87,11,10,2,24,2621,3761,40,False,Chef & Recipe Developer. Formerly at a much smaller company. Based in Toronto.,"Toronto, Canada",en,False,,1900000000003393608,retweeted,Male,25-34,North America,platform-provided estimate,1900000000009047058,Aaliyah Diallo,Pets & Animals,none
1900000000010094886,3000251481,solbergamara,Nobody asked but here's my unsolicited update: supply chain reshoring.,,,2025-09-01T02:45:42.000Z,67,17,14,2,17,3822,1930,380,True,"Freelance Writer. Long-time lurker, occasional poster.","Mexico City, Mexico",es,False,,,,Female,55-64,North America,inferred from engagement graph,1900000000010094886,Amara Solberg,Business & Startups,business
1900000000012039754,3000106065,ninaalv60,Reminder to myself: this is exactly the kind of nuance missing from most the joys of a clean inbox coverage.,,,2025-09-01T02:52:48.000Z,165,37,41,14,37,3493,267,36,False,Software Engineer. DMs open.,"Madrid, Spain",es,False,,1900000000006368548,quoted,Female,18-24,Europe,self-reported (onboarding survey),1900000000012039754,Nina Alvarado,Lifestyle,none
1900000000003970478,3000142691,aaliyahkal26,POV: it's month and an indie breakout hit is somehow still the highlight.,Entertainment,,2025-09-01T03:01:03.000Z,65,4,5,0,8,2111,1270,191,True,"Textile Designer. Trying to post less, failing consistently. Plant parent.","Montreal, Canada",fr,False,,,,Male,45-54,North America,ML-inferred (profile+text model),1900000000003970478,Aaliyah Kallas,Entertainment,blue
1900000000005320390,3000157197,holmjonah,"13.5% is doing a lot of work in this thread, but the underlying point about a viral trailer reaction still stands.",Entertainment,sanatanaka,2025-09-01T04:45:38.000Z,105,16,14,3,25,2725,345,378,False,"Urban Planner. Two kids, one dog, zero free time. they/them","Mumbai, India",en,False,,1900000000004079565,quoted,Male,55-64,Asia-Pacific,ML-inferred (profile+text model),1900000000005320390,Jonah Holm,Entertainment,none
1900000000001965860,3000105043,laylaueda,RT @calebochoa: Can we talk about electronic health record interoperability for a second? More people than you'd think are dealing with this and nobody has a clean answer yet.,Healthcare;Medicine,,2025-09-01T04:47:30.000Z,148,37,40,17,41,2957,340,768,False,"Copywriter. Occasionally I know what I'm talking about. Slow to reply, fast to overthink.","Amsterdam, Netherlands",en,False,,1900000000000842699,retweeted,Male,18-24,Europe,self-reported (onboarding survey),1900000000001965860,Layla Ueda,Healthcare,none
1900000000008185971,3000142212,ximenamensah,Been tracking standardized testing reform for a quarter now — the 28.8% figure everyone's citing needs more context than it's getting.,Teaching,,2025-09-01T05:10:18.000Z,93,10,27,10,3,4454,1595,122,False,Documentary Filmmaker. Retweets are not endorsements.,"Austin, TX",en,False,,,,Female,25-34,North America,ML-inferred (profile+text model),1900000000008185971,Ximena Mensah,Education,none
1900000000011459556,3000338625,lena_muller,"cross-chain bridge exploits and NFT royalty enforcement are basically the whole story of this season, and I don't think most coverage has caught up.",,,2025-09-01T05:50:14.000Z,191,32,20,7,50,2497,21,219,False,"Financial Planner. Trying to post less, failing consistently. DMs open.","Melbourne, Australia",en,False,,,,Male,18-24,Asia-Pacific,ML-inferred (profile+text model),1900000000011459556,Lena Muller,Crypto & Web3,none
1900000000005968994,3000225335,dylan_osei,This is the most level-headed thing I've read on data pipeline reliability in a year.,,ckristiansen,2025-09-01T05:57:26.000Z,112,8,15,2,28,1691,1007,124,False,Independent Journalist. Occasionally I know what I'm talking about. Views are my own.,"New York, NY",en,False,,1900000000003059000,quoted,Female,25-34,North America,third-party data panel,1900000000005968994,Dylan Osei,Technology,none
1900000000011382192,3000377381,maliksolheim,@aaliyahkal26 Curious how this plays out over the next month.,,aaliyahkal26,2025-09-01T07:20:25.000Z,734,128,139,34,104,18029,27200,81,True,Game Developer. Based in Bangkok.,"Bangkok, Thailand",th,True,3000142691,1900000000009066437,replied_to,Male,65+,Asia-Pacific,platform-provided estimate,1900000000000151325,Malik Solheim,Books & Literature,blue
1900000000005205681,3000003736,aibrahim,"@yuki.voss lol yep, called it.",,yuki.voss,2025-09-01T07:31:09.000Z,69,3,23,5,9,2006,411,84,False,"Product Designer. Trying to post less, failing consistently. Trying to make things a little better.","Manila, Philippines",en,True,3000097992,1900000000004295897,replied_to,Non-binary,18-24,Asia-Pacific,inferred from engagement graph,1900000000004295897,Aaliyah Ibrahim,Finance,none
1900000000001496121,3000045147,sarai.diallo,@nadia_adeyemi Genuinely didn't expect to agree with this take but here we are.,Album;NewMusic;Music,nadia_adeyemi,2025-09-01T07:34:11.000Z,94,18,13,3,8,1883,1254,216,True,Community Organizer. Occasionally I know what I'm talking about. Always learning.,"Cairo, Egypt",ar,True,3000086922,1900000000001431306,replied_to,Male,35-44,Middle East & Africa,ML-inferred (profile+text model),1900000000000012920,Sarai Diallo,Music,blue
1900000000005509446,3000054593,tomastan45,@aaoki Completely agree — streaming royalty disputes has been underrated for a while.,Music,aaoki,2025-09-01T07:34:36.000Z,68,17,19,8,13,2720,2346,31,True,"Chef & Recipe Developer. Two kids, one dog, zero free time. she/her","Denver, CO",en,True,3000190123,1900000000005442970,replied_to,Female,18-24,North America,self-reported (onboarding survey),1900000000005442970,Tomas Tanaka,Music,business
1900000000010852248,3000002614,miloaoki,@kwamefernandez Following up on this — a small local team shared something similar last six months.,Parenting,kwamefernandez,2025-09-01T09:02:01.000Z,52,5,13,1,11,3453,351,140,False,Startup Founder. Occasionally I know what I'm talking about. Coffee-powered.,"Denver, CO",en,True,3000176340,1900000000010279460,replied_to,Female,18-24,North America,ML-inferred (profile+text model),1900000000010279460,Milo Aoki,Parenting & Family,none
1900000000014328201,3000189000,duboisjunko,Live thoughts on festival lineup leaks: this is moving quicker than the usual couple of weeks timeline. Watching Driftline Audio closely.,Music;Album;NowPlaying,,2025-09-01T10:06:08.000Z,180,41,31,11,41,6684,4125,204,False,Investment Analyst. Recovering perfectionist.,"Atlanta, GA",en,False,,,,Male,45-54,North America,ML-inferred (profile+text model),1900000000014328201,Junko Dubois,Music,none
1900000000000031423,3000240299,idris_njoroge,@noorkow53 Curious how this plays out over the next month.,EVs;Cars;Automotive,noorkow53,2025-09-01T11:12:54.000Z,96,13,30,8,6,3593,52,172,False,Environmental Consultant. Here for the discourse.,"Madrid, Spain",es,True,3000005365,1900000000000023846,replied_to,Female,18-24,Europe,platform-provided estimate,1900000000000023846,Idris Njoroge,Automotive,none
1900000000003575515,3000185044,laylakaur,"@anya_castellano Same experience here, honestly thought it was just me.",GameDay;Sports;Basketball,anya_castellano,2025-09-01T14:23:27.000Z,353,17,81,18,30,9217,7930,530,False,Chef & Recipe Developer. Recovering perfectionist.,"Seattle, WA",en,True,3000101414,1900000000003369549,replied_to,Male,25-34,North America,self-reported (onboarding survey),1900000000003369549,Layla Kaur,Sports,none
1900000000000267107,3000250682,fatimafernandez,@layla.costa Watching Cobblestone Land Trust closely because their approach to rent growth cooling could reset expectations across the board within a quarter.,Housing;Homebuying,layla.costa,2025-09-01T14:31:19.000Z,34122,9960,4241,498,1086,387175,7433,512,False,Startup Founder. he/him,"Zurich, Switzerland",de,False,,,,Female,18-24,Europe,inferred from engagement graph,1900000000000267107,Fatima Fernandez,Real Estate,none
1900000000004259435,3000094798,divya.kapoor,"RT @ninanakamura: Question for people closer to a good night's sleep for once than me — is the 25.9% figure from a small local team holding up under real conditions, or is that a best-case number?",,,2025-09-01T14:51:41.000Z,40,1,11,0,4,1091,161,340,False,"Community Organizer. Trying to post less, failing consistently. Recovering perfectionist.","Tokyo, Japan",ja,False,,1900000000001000702,retweeted,Female,35-44,Asia-Pacific,third-party data panel,1900000000004259435,Divya Kapoor,Lifestyle,none
1900000000012851841,3000389951,ingridlin99,RT @emiladeyemi: Been tracking offshore wind buildout for a few days now — the 9.2% figure everyone's citing needs more context than it's getting.,Sustainability,,2025-09-01T15:59:07.000Z,57,16,5,1,7,1725,44,248,False,"Startup Founder. Occasionally I know what I'm talking about. Long-time lurker, occasional poster.","Toronto, Canada",en,False,,1900000000009054090,retweeted,Male,35-44,North America,third-party data panel,1900000000012851841,Ingrid Lindqvist,Climate & Energy,none
1900000000012523669,3000044466,noor_osei,@tanakatobias Following up on this — Northline Wellness Studio shared something similar last month.,,tanakatobias,2025-09-01T16:03:48.000Z,183,32,32,10,49,6188,5456,239,True,Small Business Owner. Formerly at a much smaller company. Based in New York.,"New York, NY",en,True,3000118030,1900000000001812436,replied_to,Female,18-24,North America,self-reported (onboarding survey),1900000000001055153,Noor Osei,Fitness & Wellness,blue
